"","Sesso","Anziano/a","Partner","Persone a carico","Durata del rapporto","Servizio telefonico","Linee multiple","Servizio Internet","Sicurezza online","Backup online","Protezione device","Assistenza tecnica","StreamingTV","StreamingMovies","Termine del contratto","Fatturazione elettronica","Metodo di pagamento","Addebito mensile","Addebito totale","Churn"
"1528","Uomo","No","Si","Si",72,"Si","No","No","No","No","No","No","No","No","due anni","No","bonifico bancario (automatico)",21,1493.75,"No"
"1529","Donna","No","No","No",19,"Si","No","DSL","No","No","No","No","No","Si","mese per mese","Si","assegno elettronico",56.2,1093.4,"No"
"1530","Donna","No","Si","No",59,"Si","No","No","No","No","No","No","No","No","due anni","No","bonifico bancario (automatico)",18.4,1057.85,"No"
"1531","Uomo","No","Si","Si",2,"Si","No","fibra ottica","No","No","Si","Si","No","Si","mese per mese","No","carta di credito (automatico)",90,190.05,"Si"
"1532","Donna","No","Si","Si",35,"Si","Si","No","No","No","No","No","No","No","mese per mese","Si","assegno elettronico",25.75,882.55,"No"
"1533","Uomo","No","No","No",14,"Si","No","No","No","No","No","No","No","No","mese per mese","No","carta di credito (automatico)",19.6,300.4,"No"
"1534","Donna","No","No","No",14,"Si","No","fibra ottica","No","No","Si","No","No","No","mese per mese","No","assegno elettronico",75.35,1025.95,"Si"
"1535","Donna","No","Si","Si",69,"Si","No","No","No","No","No","No","No","No","due anni","No","carta di credito (automatico)",19.8,1436.95,"No"
"1536","Uomo","Si","Si","No",7,"Si","Si","DSL","Si","Si","No","Si","No","No","mese per mese","No","assegno elettronico",64.2,475,"No"
"1537","Uomo","No","Si","Si",69,"Si","No","DSL","Si","Si","Si","Si","Si","No","due anni","Si","bonifico bancario (automatico)",75.75,5388.15,"No"
"1538","Donna","No","Si","Si",72,"Si","Si","DSL","No","Si","No","Si","Si","Si","due anni","Si","assegno elettronico",78.95,5730.15,"No"
"1539","Uomo","No","No","No",8,"Si","Si","fibra ottica","No","Si","No","No","Si","Si","mese per mese","No","assegno elettronico",100.85,819.55,"Si"
"1540","Donna","No","Si","Si",4,"Si","No","DSL","Si","No","No","No","No","No","mese per mese","No","assegno elettronico",50.3,217.1,"No"
"1541","Uomo","No","Si","Si",63,"Si","No","fibra ottica","No","Si","Si","No","No","No","mese per mese","Si","carta di credito (automatico)",80.3,4896.35,"No"
"1542","Uomo","No","No","No",72,"Si","No","No","No","No","No","No","No","No","due anni","No","bonifico bancario (automatico)",19.85,1434.1,"No"
"1543","Donna","No","No","No",46,"Si","No","No","No","No","No","No","No","No","due anni","Si","assegno elettronico",21.1,937.1,"No"
"1544","Donna","No","Si","No",5,"Si","No","fibra ottica","No","No","No","No","No","No","mese per mese","No","assegno elettronico",69.95,330.15,"Si"
"1545","Uomo","No","Si","No",30,"Si","No","DSL","No","No","Si","No","No","No","mese per mese","Si","assegno per posta",50,1474.9,"No"
"1546","Uomo","No","No","No",63,"Si","Si","fibra ottica","No","Si","Si","No","Si","Si","due anni","Si","bonifico bancario (automatico)",104.75,6536.5,"No"
"1547","Donna","No","No","No",60,"Si","No","No","No","No","No","No","No","No","due anni","No","bonifico bancario (automatico)",19.85,1128.1,"No"
"1548","Donna","No","Si","No",63,"Si","Si","fibra ottica","No","Si","Si","No","Si","Si","un anno","Si","assegno elettronico",107.5,6873.75,"Si"
"1549","Uomo","No","Si","Si",25,"Si","No","fibra ottica","No","No","No","Si","Si","No","mese per mese","No","assegno elettronico",85.9,2199.05,"No"
"1550","Uomo","No","No","No",1,"Si","No","DSL","No","No","No","No","No","No","mese per mese","Si","assegno per posta",45.85,45.85,"Si"
"1551","Uomo","Si","Si","No",6,"Si","Si","fibra ottica","No","No","Si","No","No","No","mese per mese","Si","assegno elettronico",80.8,457.1,"No"
"1552","Uomo","No","No","No",22,"Si","Si","No","No","No","No","No","No","No","due anni","No","assegno per posta",25.25,566.5,"No"
"1553","Donna","No","Si","Si",31,"Si","Si","DSL","No","Si","No","Si","Si","Si","due anni","No","bonifico bancario (automatico)",80.55,2471.6,"No"
"1554","Donna","No","Si","Si",39,"Si","No","fibra ottica","No","No","Si","Si","No","No","mese per mese","Si","bonifico bancario (automatico)",81.5,3107.3,"No"
"1555","Uomo","No","No","No",26,"Si","No","No","No","No","No","No","No","No","mese per mese","No","assegno per posta",20.9,518.3,"No"
"1556","Donna","No","Si","No",53,"Si","No","fibra ottica","Si","Si","Si","No","Si","Si","un anno","Si","bonifico bancario (automatico)",106.1,5769.75,"Si"
"1557","Donna","No","No","No",1,"Si","No","fibra ottica","No","Si","No","Si","Si","No","mese per mese","No","assegno elettronico",91.7,91.7,"Si"
"1558","Uomo","No","No","No",12,"Si","Si","DSL","Si","Si","No","Si","No","No","mese per mese","Si","assegno elettronico",67.25,832.3,"No"
"1559","Donna","No","No","No",16,"Si","Si","fibra ottica","No","Si","Si","No","No","Si","mese per mese","Si","carta di credito (automatico)",95.6,1555.65,"Si"
"1560","Donna","No","No","No",2,"Si","No","No","No","No","No","No","No","No","mese per mese","No","assegno per posta",20.35,45.3,"No"
"1561","Uomo","No","No","Si",39,"No","No","DSL","Si","No","No","Si","Si","No","un anno","No","bonifico bancario (automatico)",45.05,1790.6,"No"
"1562","Uomo","No","No","No",1,"Si","Si","fibra ottica","No","No","No","No","No","No","mese per mese","Si","assegno elettronico",74.95,74.95,"Si"
"1563","Donna","No","Si","Si",7,"No","No","DSL","Si","No","No","Si","No","No","mese per mese","No","assegno per posta",34.65,246.6,"No"
"1564","Uomo","Si","No","No",4,"Si","No","fibra ottica","No","No","No","No","No","No","mese per mese","No","assegno elettronico",69.35,261.65,"No"
"1565","Uomo","Si","No","No",10,"Si","Si","fibra ottica","No","No","No","No","Si","Si","mese per mese","Si","assegno elettronico",95.35,898.35,"Si"
"1566","Donna","No","No","No",55,"Si","No","fibra ottica","No","Si","Si","No","No","No","mese per mese","Si","assegno elettronico",81.55,4509.5,"No"
"1567","Uomo","No","Si","Si",72,"Si","No","DSL","No","Si","Si","No","Si","Si","due anni","Si","bonifico bancario (automatico)",75.4,5480.25,"No"
"1568","Donna","No","Si","No",10,"Si","No","DSL","No","No","Si","No","Si","Si","mese per mese","Si","carta di credito (automatico)",67.8,653.15,"No"
"1569","Uomo","Si","No","No",11,"Si","Si","fibra ottica","No","Si","Si","Si","Si","Si","mese per mese","Si","assegno elettronico",111.4,1183.05,"No"
"1570","Donna","No","Si","Si",15,"Si","No","DSL","No","No","No","No","No","No","mese per mese","No","assegno elettronico",46.3,639.45,"No"
"1571","Donna","No","Si","Si",23,"Si","No","No","No","No","No","No","No","No","due anni","No","bonifico bancario (automatico)",20.4,478.75,"No"
"1572","Uomo","No","No","Si",1,"Si","No","No","No","No","No","No","No","No","mese per mese","No","assegno per posta",20.05,20.05,"No"
"1573","Donna","Si","No","No",3,"Si","No","DSL","No","No","No","No","No","No","mese per mese","No","assegno elettronico",45,127.1,"Si"
"1574","Uomo","No","Si","Si",47,"Si","No","fibra ottica","Si","Si","Si","No","No","Si","un anno","Si","assegno elettronico",96.1,4391.45,"No"
"1575","Donna","No","No","Si",15,"Si","No","No","No","No","No","No","No","No","un anno","No","assegno per posta",19.65,270.6,"No"
"1576","Uomo","No","No","No",66,"Si","No","fibra ottica","No","Si","Si","No","Si","Si","mese per mese","No","assegno elettronico",99.5,6710.5,"Si"
"1577","Donna","Si","Si","No",68,"Si","No","DSL","No","Si","Si","Si","No","No","un anno","Si","bonifico bancario (automatico)",60.65,3975.9,"No"
"1578","Donna","No","Si","Si",17,"Si","No","fibra ottica","No","No","Si","Si","Si","Si","un anno","No","bonifico bancario (automatico)",98.6,1704.95,"Si"
"1579","Donna","No","No","No",7,"Si","No","DSL","No","No","No","Si","Si","No","mese per mese","Si","assegno per posta",59.5,415.95,"Si"
"1580","Uomo","Si","Si","No",12,"Si","No","fibra ottica","No","No","No","No","No","Si","mese per mese","Si","assegno elettronico",80.45,950.2,"Si"
"1581","Donna","Si","Si","No",21,"Si","Si","DSL","No","Si","Si","No","No","Si","un anno","No","bonifico bancario (automatico)",71.7,1497.05,"No"
"1582","Uomo","No","No","No",21,"No","No","DSL","No","Si","No","Si","No","No","mese per mese","Si","assegno per posta",36,780.15,"No"
"1583","Donna","No","Si","Si",56,"Si","Si","DSL","Si","No","No","No","Si","No","un anno","No","bonifico bancario (automatico)",65.2,3512.15,"No"
"1584","Donna","No","Si","Si",6,"Si","Si","DSL","No","No","No","No","No","No","mese per mese","Si","carta di credito (automatico)",48.95,273.25,"No"
"1585","Donna","Si","No","No",65,"No","No","DSL","No","Si","Si","No","Si","Si","due anni","Si","bonifico bancario (automatico)",53.5,3517.9,"No"
"1586","Uomo","No","Si","No",42,"Si","Si","DSL","Si","No","No","Si","Si","Si","un anno","No","carta di credito (automatico)",80.45,3375.9,"No"
"1587","Donna","No","Si","Si",68,"Si","Si","fibra ottica","Si","No","Si","Si","Si","Si","due anni","Si","bonifico bancario (automatico)",109.05,7508.55,"No"
"1588","Uomo","No","Si","Si",48,"Si","Si","No","No","No","No","No","No","No","due anni","No","bonifico bancario (automatico)",26.3,1245.05,"No"
"1589","Donna","Si","No","No",50,"Si","Si","fibra ottica","No","Si","No","Si","Si","Si","un anno","Si","assegno elettronico",106.8,5347.95,"No"
"1590","Donna","Si","No","No",7,"Si","No","DSL","No","Si","Si","No","Si","No","mese per mese","Si","assegno elettronico",64.95,493.65,"No"
"1591","Donna","No","Si","Si",63,"Si","No","No","No","No","No","No","No","No","due anni","No","assegno elettronico",19.35,1263.85,"No"
"1592","Uomo","No","No","No",17,"Si","No","No","No","No","No","No","No","No","mese per mese","No","carta di credito (automatico)",21.1,385.55,"No"
"1593","Donna","No","Si","Si",42,"Si","No","fibra ottica","No","No","No","No","Si","No","mese per mese","Si","carta di credito (automatico)",77.95,3384,"Si"
"1594","Uomo","No","Si","Si",4,"Si","No","No","No","No","No","No","No","No","mese per mese","No","assegno per posta",18.85,84.2,"No"
"1595","Donna","No","No","Si",62,"Si","Si","No","No","No","No","No","No","No","due anni","No","bonifico bancario (automatico)",26,1638.7,"No"
"1596","Uomo","Si","No","No",2,"Si","No","fibra ottica","No","Si","No","No","No","No","mese per mese","Si","assegno elettronico",74.7,165.4,"Si"
"1597","Donna","No","Si","No",2,"Si","No","fibra ottica","No","No","No","No","No","No","mese per mese","Si","assegno elettronico",70.35,120.25,"No"
"1598","Uomo","No","Si","No",48,"Si","Si","fibra ottica","Si","Si","Si","No","Si","No","due anni","Si","bonifico bancario (automatico)",96.9,4473.45,"No"
"1599","Uomo","No","Si","No",27,"Si","No","No","No","No","No","No","No","No","due anni","No","bonifico bancario (automatico)",19.55,520.55,"No"
"1600","Donna","No","Si","Si",70,"Si","No","DSL","No","Si","Si","Si","Si","Si","due anni","Si","bonifico bancario (automatico)",80.4,5717.85,"No"
"1601","Uomo","Si","No","No",1,"Si","Si","fibra ottica","No","No","Si","No","Si","No","mese per mese","Si","assegno elettronico",88.8,88.8,"Si"
"1602","Uomo","No","Si","No",46,"Si","Si","fibra ottica","No","Si","Si","No","Si","No","un anno","Si","assegno elettronico",94.65,4312.5,"No"
"1603","Uomo","No","No","No",30,"Si","No","fibra ottica","No","No","No","No","Si","Si","mese per mese","Si","assegno elettronico",90.25,2755.35,"Si"
"1604","Donna","No","No","No",15,"Si","Si","DSL","Si","No","No","No","No","Si","mese per mese","Si","bonifico bancario (automatico)",64.65,994.55,"Si"
"1605","Uomo","No","Si","Si",69,"Si","Si","fibra ottica","No","Si","Si","No","Si","No","un anno","No","carta di credito (automatico)",95.75,6511.25,"No"
"1606","Uomo","No","No","No",65,"Si","No","No","No","No","No","No","No","No","due anni","Si","carta di credito (automatico)",19.55,1218.65,"No"
"1607","Uomo","Si","Si","Si",72,"Si","No","fibra ottica","Si","No","Si","Si","Si","Si","due anni","Si","carta di credito (automatico)",104.1,7447.7,"No"
"1608","Uomo","Si","Si","No",13,"Si","No","fibra ottica","No","Si","No","Si","No","Si","mese per mese","Si","bonifico bancario (automatico)",89.05,1169.35,"Si"
"1609","Uomo","No","No","No",17,"Si","No","No","No","No","No","No","No","No","un anno","Si","assegno per posta",20.1,279.5,"No"
"1610","Uomo","No","Si","No",51,"Si","Si","fibra ottica","Si","No","Si","Si","Si","Si","un anno","Si","assegno elettronico",111.55,5720.35,"No"
"1611","Uomo","No","Si","Si",51,"Si","No","DSL","Si","Si","No","Si","No","No","due anni","No","carta di credito (automatico)",60.5,3121.45,"No"
"1612","Donna","No","Si","No",72,"Si","Si","DSL","Si","Si","Si","Si","Si","Si","due anni","Si","bonifico bancario (automatico)",90.95,6468.6,"No"
"1613","Uomo","No","Si","Si",67,"Si","Si","fibra ottica","No","Si","Si","No","No","No","un anno","No","assegno elettronico",87.4,5918.8,"Si"
"1614","Uomo","No","No","No",34,"Si","No","No","No","No","No","No","No","No","mese per mese","No","assegno per posta",19.7,675.6,"No"
"1615","Uomo","No","Si","No",67,"No","No","DSL","Si","Si","No","Si","No","Si","due anni","Si","bonifico bancario (automatico)",50.95,3521.7,"No"
"1616","Donna","No","Si","No",49,"Si","No","No","No","No","No","No","No","No","un anno","Si","bonifico bancario (automatico)",20.05,923.1,"No"
"1617","Uomo","No","Si","Si",53,"Si","No","No","No","No","No","No","No","No","due anni","Si","assegno per posta",19.4,1110.35,"No"
"1618","Uomo","No","No","No",27,"Si","Si","DSL","No","No","Si","Si","No","No","mese per mese","No","assegno elettronico",59.45,1611.65,"No"
"1619","Donna","Si","No","No",23,"Si","No","fibra ottica","No","Si","No","No","Si","Si","mese per mese","Si","assegno elettronico",94.75,2293.6,"Si"
"1620","Uomo","No","No","No",69,"Si","Si","DSL","Si","Si","Si","Si","No","Si","due anni","Si","carta di credito (automatico)",81.5,5553.25,"No"
"1621","Donna","No","Si","Si",2,"No","No","DSL","No","No","No","Si","No","No","mese per mese","No","bonifico bancario (automatico)",29.05,44.75,"No"
"1622","Donna","No","No","No",35,"Si","Si","fibra ottica","No","No","No","No","Si","No","mese per mese","Si","assegno elettronico",86.45,3029.1,"Si"
"1623","Donna","No","Si","No",46,"Si","No","DSL","Si","Si","No","Si","No","Si","un anno","No","assegno per posta",70.6,3231.05,"No"
"1624","Donna","No","No","No",54,"Si","Si","fibra ottica","No","Si","No","No","Si","Si","due anni","Si","bonifico bancario (automatico)",97.2,5129.45,"No"
"1625","Donna","No","Si","No",56,"Si","Si","fibra ottica","No","Si","No","No","Si","Si","un anno","Si","assegno elettronico",98.25,5508.35,"Si"
"1626","Donna","No","Si","No",9,"Si","No","fibra ottica","No","No","Si","No","No","No","mese per mese","Si","bonifico bancario (automatico)",75.75,655.9,"Si"
"1627","Uomo","No","No","No",20,"Si","Si","DSL","Si","No","No","Si","No","No","mese per mese","No","bonifico bancario (automatico)",59.2,1191.2,"No"
"1628","Uomo","No","No","No",11,"Si","No","fibra ottica","No","Si","No","No","No","No","mese per mese","Si","assegno per posta",75.9,866.4,"No"
"1629","Donna","Si","Si","No",30,"Si","Si","fibra ottica","No","Si","No","No","Si","No","mese per mese","Si","assegno elettronico",90.05,2627.2,"No"
"1630","Uomo","No","Si","No",68,"Si","No","DSL","Si","Si","Si","No","No","Si","due anni","No","bonifico bancario (automatico)",70.95,4741.45,"No"
"1631","Uomo","Si","Si","No",38,"Si","Si","fibra ottica","No","Si","Si","No","Si","Si","mese per mese","Si","assegno elettronico",102.6,4009.2,"No"
"1632","Donna","Si","Si","No",17,"Si","Si","fibra ottica","Si","No","Si","No","No","No","mese per mese","Si","bonifico bancario (automatico)",85.35,1463.45,"Si"
"1633","Uomo","No","No","No",48,"Si","Si","fibra ottica","No","Si","Si","No","Si","Si","un anno","Si","carta di credito (automatico)",106.1,5082.8,"Si"
"1634","Donna","No","No","No",1,"Si","No","DSL","No","No","No","No","No","No","mese per mese","No","assegno elettronico",43.8,43.8,"No"
"1635","Uomo","No","Si","Si",63,"No","No","DSL","Si","Si","Si","No","Si","Si","due anni","No","assegno elettronico",59,3707.6,"No"
"1636","Donna","No","No","No",3,"Si","No","DSL","No","No","Si","No","Si","Si","un anno","Si","assegno elettronico",69.95,220.45,"No"
"1637","Donna","No","No","No",48,"Si","Si","No","No","No","No","No","No","No","un anno","No","bonifico bancario (automatico)",24.35,1133.7,"No"
"1638","Uomo","No","No","No",66,"No","No","DSL","No","No","No","Si","No","No","un anno","No","carta di credito (automatico)",29.45,1983.15,"No"
"1639","Donna","No","Si","Si",68,"Si","Si","fibra ottica","No","Si","Si","No","No","No","due anni","Si","carta di credito (automatico)",84.4,5746.75,"No"
"1640","Uomo","Si","No","No",17,"Si","No","DSL","No","No","No","No","No","No","mese per mese","Si","assegno elettronico",45.05,770.6,"Si"
"1641","Donna","No","Si","Si",7,"Si","No","No","No","No","No","No","No","No","un anno","No","assegno per posta",20.65,134.05,"No"
"1642","Uomo","No","Si","No",72,"Si","Si","DSL","Si","Si","Si","Si","Si","Si","due anni","Si","bonifico bancario (automatico)",87.1,6230.1,"No"
"1643","Donna","No","Si","No",29,"Si","No","No","No","No","No","No","No","No","mese per mese","No","assegno per posta",19.85,573.05,"No"
"1644","Uomo","No","Si","No",37,"Si","No","fibra ottica","No","No","Si","Si","No","Si","mese per mese","Si","assegno elettronico",90.35,3419.3,"No"
"1645","Donna","No","No","No",34,"Si","Si","fibra ottica","Si","Si","Si","No","Si","Si","mese per mese","Si","assegno per posta",109.8,3587.25,"Si"
"1646","Donna","Si","No","No",42,"Si","Si","fibra ottica","No","No","No","No","Si","No","mese per mese","Si","assegno elettronico",84.65,3541.35,"Si"
"1647","Donna","No","Si","Si",59,"Si","Si","DSL","Si","Si","No","Si","No","No","un anno","No","assegno per posta",65.5,3801.3,"No"
"1648","Uomo","No","Si","Si",11,"Si","No","fibra ottica","No","No","No","No","Si","No","mese per mese","Si","bonifico bancario (automatico)",79.5,868.5,"Si"
"1649","Uomo","Si","Si","Si",60,"Si","Si","fibra ottica","Si","No","No","No","No","No","mese per mese","Si","assegno elettronico",80.95,4859.1,"No"
"1650","Donna","No","No","No",27,"Si","No","DSL","No","Si","No","Si","No","No","mese per mese","Si","assegno per posta",56.15,1439.35,"No"
"1651","Donna","No","No","No",1,"Si","Si","fibra ottica","No","No","No","No","No","Si","mese per mese","No","assegno per posta",85.8,85.8,"Si"
"1652","Uomo","Si","No","No",1,"Si","No","fibra ottica","No","No","No","No","Si","No","mese per mese","Si","assegno elettronico",79.1,79.1,"Si"
"1653","Uomo","No","Si","No",17,"No","No","DSL","Si","No","Si","No","No","No","mese per mese","No","assegno per posta",34.4,592.75,"No"
"1654","Uomo","No","Si","No",58,"Si","No","No","No","No","No","No","No","No","due anni","No","assegno per posta",20.75,1185.95,"No"
"1655","Uomo","No","Si","Si",1,"Si","No","No","No","No","No","No","No","No","un anno","No","assegno per posta",18.8,18.8,"No"
"1656","Donna","No","Si","Si",3,"Si","No","DSL","No","No","No","No","No","No","mese per mese","No","assegno per posta",44.3,134.5,"Si"
"1657","Donna","No","No","No",53,"Si","Si","fibra ottica","Si","Si","Si","No","No","No","mese per mese","No","assegno elettronico",90.8,4921.2,"No"
"1658","Uomo","No","No","No",35,"Si","Si","No","No","No","No","No","No","No","mese per mese","Si","assegno elettronico",25.6,901.25,"No"
"1659","Uomo","No","Si","Si",50,"Si","Si","fibra ottica","Si","No","Si","No","Si","Si","mese per mese","No","carta di credito (automatico)",105.95,5341.8,"Si"
"1660","Uomo","No","Si","Si",68,"Si","Si","DSL","No","Si","No","Si","No","Si","due anni","No","carta di credito (automatico)",70.8,4859.95,"No"
"1661","Uomo","No","Si","No",47,"Si","Si","No","No","No","No","No","No","No","mese per mese","No","assegno elettronico",25.4,1139.2,"No"
"1662","Donna","Si","Si","No",65,"Si","Si","fibra ottica","No","Si","Si","No","Si","Si","mese per mese","Si","bonifico bancario (automatico)",108.8,7082.45,"No"
"1663","Uomo","No","No","No",5,"Si","No","fibra ottica","No","No","No","No","No","No","mese per mese","Si","assegno elettronico",69.75,324.6,"Si"
"1664","Uomo","No","Si","No",51,"Si","Si","fibra ottica","No","No","No","No","Si","Si","mese per mese","Si","assegno elettronico",94.65,4812.75,"Si"
"1665","Donna","No","No","No",46,"Si","Si","fibra ottica","No","No","No","No","Si","Si","mese per mese","No","bonifico bancario (automatico)",96.05,4399.5,"Si"
"1666","Donna","No","No","No",9,"Si","Si","fibra ottica","No","No","No","No","No","No","mese per mese","Si","assegno elettronico",76.85,663.55,"No"
"1667","Donna","No","No","No",8,"Si","No","No","No","No","No","No","No","No","due anni","No","assegno per posta",20.25,174.65,"No"
"1668","Uomo","No","No","No",14,"Si","Si","No","No","No","No","No","No","No","un anno","Si","carta di credito (automatico)",24.8,321.7,"No"
"1669","Donna","No","No","No",45,"Si","Si","fibra ottica","Si","Si","Si","Si","Si","Si","mese per mese","Si","assegno elettronico",115.65,5125.5,"No"
"1670","Donna","No","No","No",8,"Si","Si","fibra ottica","No","No","No","No","No","No","mese per mese","Si","carta di credito (automatico)",74.6,548.9,"No"
"1671","Uomo","Si","No","Si",1,"Si","No","DSL","No","No","Si","No","No","No","mese per mese","Si","assegno per posta",50.15,50.15,"Si"
"1672","Uomo","No","Si","Si",66,"Si","No","fibra ottica","Si","Si","Si","No","Si","Si","un anno","Si","bonifico bancario (automatico)",103.15,7031.3,"No"
"1673","Uomo","No","Si","Si",72,"Si","Si","DSL","Si","Si","Si","Si","No","No","due anni","No","carta di credito (automatico)",72.1,5016.65,"No"
"1674","Donna","No","Si","No",41,"Si","Si","fibra ottica","Si","Si","Si","Si","Si","Si","mese per mese","Si","bonifico bancario (automatico)",113.6,4594.95,"Si"
"1675","Donna","No","Si","Si",23,"Si","Si","No","No","No","No","No","No","No","due anni","No","assegno per posta",25.1,611.45,"No"
"1676","Donna","No","No","No",29,"Si","No","fibra ottica","No","No","No","No","Si","No","mese per mese","Si","assegno elettronico",78.9,2384.15,"Si"
"1677","Donna","No","No","No",4,"Si","Si","fibra ottica","Si","No","No","No","No","No","mese per mese","Si","assegno elettronico",80.15,319.85,"No"
"1678","Uomo","No","Si","Si",6,"Si","Si","No","No","No","No","No","No","No","due anni","No","assegno per posta",25.4,153.3,"No"
"1679","Donna","Si","Si","No",67,"Si","Si","fibra ottica","Si","Si","Si","Si","No","Si","un anno","Si","carta di credito (automatico)",105.4,7035.6,"No"
"1680","Uomo","Si","No","Si",7,"Si","No","DSL","No","No","No","No","No","No","mese per mese","Si","assegno per posta",45.75,344.2,"No"
"1681","Uomo","No","Si","Si",56,"Si","Si","No","No","No","No","No","No","No","un anno","Si","assegno per posta",24.45,1431.65,"No"
"1682","Donna","No","Si","No",72,"Si","Si","No","No","No","No","No","No","No","due anni","No","carta di credito (automatico)",25,1849.2,"No"
"1683","Uomo","No","Si","No",72,"Si","Si","DSL","Si","Si","Si","No","Si","Si","due anni","Si","assegno elettronico",85.25,6083.1,"No"
"1684","Uomo","No","Si","Si",23,"Si","No","No","No","No","No","No","No","No","due anni","No","carta di credito (automatico)",19.6,426.65,"No"
"1685","Donna","No","No","Si",35,"Si","Si","DSL","No","No","No","No","No","No","mese per mese","No","assegno per posta",50.15,1655.35,"No"
"1686","Uomo","Si","Si","No",27,"Si","No","fibra ottica","No","No","No","No","No","No","mese per mese","Si","assegno elettronico",70.55,1943.9,"No"
"1687","Donna","No","Si","Si",26,"Si","Si","DSL","No","Si","No","Si","No","No","mese per mese","Si","assegno elettronico",60.05,1616.15,"Si"
"1688","Uomo","No","Si","Si",12,"Si","Si","No","No","No","No","No","No","No","un anno","No","assegno per posta",26.4,314.95,"No"
"1689","Donna","No","No","No",40,"Si","No","No","No","No","No","No","No","No","due anni","No","assegno per posta",20.15,804.85,"No"
"1690","Uomo","No","Si","Si",7,"No","No","DSL","Si","Si","Si","No","Si","Si","mese per mese","No","assegno per posta",58.85,465.7,"No"
"1691","Uomo","No","Si","Si",70,"Si","Si","fibra ottica","Si","Si","No","No","Si","No","mese per mese","Si","carta di credito (automatico)",97.55,6669.05,"No"
"1692","Uomo","No","Si","Si",60,"Si","No","No","No","No","No","No","No","No","due anni","No","carta di credito (automatico)",19.65,1161.75,"No"
"1693","Uomo","No","Si","Si",39,"No","No","DSL","No","No","No","No","No","No","un anno","Si","carta di credito (automatico)",25.25,947.75,"No"
"1694","Uomo","No","Si","No",72,"Si","Si","fibra ottica","Si","Si","Si","Si","Si","Si","due anni","No","carta di credito (automatico)",114.45,8375.05,"No"
"1695","Donna","No","No","No",1,"No","No","DSL","No","No","No","No","Si","No","mese per mese","Si","assegno elettronico",34.7,34.7,"Si"
"1696","Uomo","No","Si","Si",54,"Si","Si","DSL","No","Si","No","Si","Si","No","un anno","Si","assegno elettronico",70.7,3770,"No"
"1697","Uomo","No","No","No",3,"Si","Si","fibra ottica","No","No","No","No","No","Si","mese per mese","Si","assegno elettronico",85.3,264.8,"Si"
"1698","Donna","No","Si","Si",63,"Si","No","DSL","Si","Si","Si","Si","Si","No","due anni","No","carta di credito (automatico)",75.55,4707.85,"No"
"1699","Uomo","No","Si","Si",71,"Si","Si","fibra ottica","No","Si","No","Si","No","No","due anni","Si","assegno elettronico",84.8,6152.4,"No"
"1700","Donna","No","No","No",42,"Si","No","No","No","No","No","No","No","No","un anno","Si","assegno per posta",20.65,958.1,"No"
"1701","Uomo","No","No","No",47,"Si","No","No","No","No","No","No","No","No","due anni","No","bonifico bancario (automatico)",20.45,943,"No"
"1702","Donna","No","Si","Si",66,"Si","Si","fibra ottica","No","Si","Si","No","Si","Si","un anno","Si","carta di credito (automatico)",102.45,6615.15,"Si"
"1703","Donna","No","Si","No",21,"Si","Si","fibra ottica","Si","No","Si","No","Si","Si","mese per mese","Si","bonifico bancario (automatico)",104.4,2200.25,"Si"
"1704","Uomo","No","No","No",11,"No","No","DSL","No","Si","No","Si","No","No","mese per mese","Si","assegno elettronico",35.65,425.1,"No"
"1705","Uomo","No","No","Si",1,"Si","Si","fibra ottica","No","No","Si","No","Si","Si","mese per mese","Si","assegno elettronico",99.75,99.75,"Si"
"1706","Donna","Si","Si","No",55,"Si","Si","fibra ottica","No","Si","Si","Si","No","No","mese per mese","No","assegno elettronico",90.45,5044.8,"No"
"1707","Uomo","No","No","No",69,"Si","Si","fibra ottica","No","Si","Si","Si","Si","No","due anni","Si","carta di credito (automatico)",97.65,6743.55,"No"
"1708","Donna","Si","No","No",3,"Si","No","fibra ottica","No","No","Si","No","No","No","mese per mese","No","assegno elettronico",73.85,196.4,"No"
"1709","Uomo","No","No","No",4,"Si","No","DSL","No","No","Si","Si","Si","Si","mese per mese","Si","assegno elettronico",74.4,299.7,"Si"
"1710","Uomo","Si","No","No",30,"Si","Si","DSL","No","No","Si","Si","Si","No","due anni","Si","carta di credito (automatico)",69.1,2093.9,"No"
"1711","Donna","No","No","No",5,"Si","Si","fibra ottica","No","No","Si","Si","No","No","mese per mese","Si","assegno elettronico",82.75,417.75,"No"
"1712","Donna","No","Si","No",71,"Si","Si","No","No","No","No","No","No","No","due anni","Si","carta di credito (automatico)",24.4,1725.4,"No"
"1713","Donna","No","No","No",29,"Si","Si","DSL","No","Si","No","No","No","No","un anno","Si","assegno elettronico",55.25,1620.2,"No"
"1714","Uomo","No","Si","No",52,"Si","Si","DSL","No","Si","No","Si","No","No","mese per mese","No","bonifico bancario (automatico)",61.35,3169.55,"No"
"1715","Uomo","No","No","No",68,"Si","Si","DSL","Si","Si","Si","No","No","Si","un anno","No","carta di credito (automatico)",76.75,5233.25,"No"
"1716","Donna","No","Si","Si",46,"Si","No","No","No","No","No","No","No","No","due anni","No","assegno per posta",19.4,967.85,"No"
"1717","Uomo","No","No","No",8,"Si","No","DSL","No","No","No","No","No","Si","mese per mese","Si","carta di credito (automatico)",54.75,438.05,"No"
